ID;i1;i2;i7;i14;i15;i16;i17;i18;i19;i20;i21;i25;i26;i27;i28;i29;i30;i31;i32;i33;i34;i35
1;5;5;4;3;5;5;3;5;5;5;5;5;5;4;3;4;5;5;5;4;4;4
2;2;3;2;2;4;2;1;1;4;4;2;1;1;2;1;2;3;5;2;1;4;4
3;4;5;5;5;4;5;5;4;5;5;4;5;5;4;4;5;5;5;5;5;4;5
4;5;4;4;5;5;4;5;5;4;4;5;5;4;5;3;3;4;5;5;4;4;4
5;3;5;4;5;4;5;4;5;4;4;4;5;4;2;5;5;4;5;5;4;4;4
6;5;4;3;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;4;5;5
7;5;5;4;5;4;3;5;5;5;4;5;4;5;5;4;5;5;5;5;2;5;4
8;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
9;3;4;4;3;4;5;2;4;3;4;3;4;5;4;4;5;2;4;5;5;5;5
10;5;4;3;5;5;4;4;4;4;4;5;5;5;5;4;5;4;4;5;5;5;5
11;4;5;5;5;4;5;5;5;5;5;5;5;5;4;5;2;4;5;4;5;5;5
12;5;3;4;5;5;5;5;5;4;4;5;4;5;4;5;4;3;5;5;4;4;4
13;5;5;3;5;5;4;2;5;5;2;5;5;5;4;3;3;4;5;4;5;5;3
14;5;5;4;5;4;5;5;3;4;5;5;5;5;5;5;5;3;5;4;4;4;3
15;4;4;2;4;5;4;4;4;4;3;2;3;4;4;4;5;3;5;2;2;3;3
